channel_id,name_holodex,english_name,group,branch,channel_type,inactive,comments_crawled_at,twitter,display_name,kana,kana_alias,units,topic_search,color
UCTUhaUoo6SuzlRp_EJehewQ,2時から3時のしぇあはうす,2-ji kara 3-ji no Share House,JP Units,本家,unit,FALSE,2026-09-24T19:10:58.014Z,sharehouse_2ji,,,,,,
UCiphSlsDcJJQ7mDqR9Q3SdA,3SKM,,3SKM,本家,unit,FALSE,2026-09-24T18:46:58.020Z,3SKM_INFO,,,,,,
UCN68LoM3khS4gdBMiWJO8WA,Aia Amare 【NIJISANJI EN】,Aia Amare,EN ILUNA,EN,liver,FALSE,2026-09-24T18:45:52.011Z,AiaAmare,Aia Amare,アイア・アマレ,アイア,,,#FFFEF7
UCQ1zGxHrfEmmW4CPpBx9-qw,Alban Knox 【NIJISANJI EN】,Alban Knox,EN Noctyx,EN,liver,FALSE,2026-09-25T01:25:40.009Z,alban_knox,Alban Knox,アルバーン・ノックス,アルバーン アルバン,,,#FF5F00
UCUEiLI0PQYewvAEtp6vEitA,BY THE BEAT,BY THE BEAT,EN BY THE BEAT,EN,unit,FALSE,2026-09-24T19:44:52.017Z,by_the_beat,BY THE BEAT,,,,,
UC0NvtZTT8OR6F5uKYTU8zsA,Cellmates,Cellmates,JP Units,本家,unit,FALSE,2026-09-24T23:42:46.018Z,ll_cellmates_ll,,,,,,
UCz6vnIbgiqFT9xUcD6Bp65Q,ChroNoiR, ChroNoiR,JP Units,本家,unit,FALSE,2026-09-25T01:48:46.015Z,chronoir_info,,,,,,
UCdh-YF2gTzqDNu0VU9lwPPw,Claude Clawmark 【NIJISANJI EN】,Claude Clawmark,EN TTT,EN,liver,FALSE,2026-09-24T17:05:52.012Z,ClaudeClawmark,Claude Clawmark,クロード・クローマーク,クロード,,,#7D3CAF
UCMzVa7B8UEdrvUGsPmSgyjA,Derem Kado  - にじさんじ / NIJISANJI,Derem Kado,Ex-ID 53Renade,旧ID,liver,FALSE,2026-09-24T23:01:52.010Z,DeremKado,デレム カド,でれむかど,でれむ Derem Kado,,,#F6D4DF
UCy91xBlY_Brh3bnHxKtjrrg,Doppio Dropscythe【NIJISANJI EN】,Doppio Dropscythe,EN XSOLEIL,EN,liver,FALSE,2026-09-25T04:26:58.013Z,D_Dropscythe,Doppio Dropscythe,ドッピオ・ドロップサイス,ドッピオ,,,#A50082
UCIeSUTOTkF9Hs7q3SGcO-Ow,Elira Pendora 【NIJISANJI EN】,Elira Pendora,EN LazuLight,EN,liver,FALSE,2026-09-25T02:06:52.013Z,EliraPendora,Elira Pendora,エリーラ・ペンドラ,エリーラ エリラ,,,#95C8D8
UCR6qhsLpn62WVxCBK1dkLow,Enna Alouette【NIJISANJI EN】,Enna Alouette,EN Ethyria,EN,liver,FALSE,2026-09-24T21:38:52.012Z,EnnaAlouette,Enna Alouette,エナー・アールウェット,エナー エナ,,,#858ED1
UCjFu-9GHnabzSFRAYm1B9Dw,Etna Crimson【NIJISANJI / にじさんじ】,Etna Crimson,Ex-ID 3FicLite,旧ID,liver,FALSE,2026-09-25T01:04:58.016Z,Etna_Crimson,エトナ クリムソン,えとなくりむそん,えとな Etna Crimson,,,#DC143C
UCu-J8uIXuLZh16gG-cT1naw,Finana Ryugu 【NIJISANJI EN】,Finana Ryugu,EN LazuLight,EN,liver,FALSE,2026-09-25T02:18:40.014Z,FinanaRyugu,Finana Ryugu,フィナーナ・リュウグウ,フィナーナ,,,#35D9AD
UCr40BzcLiGruKe7M5gXR9zQ,Freodore【NIJISANJI EN】,Freodore,EN BY THE BEAT,EN,liver,FALSE,2026-09-25T00:12:40.016Z,Freo_2434,Freodore,フリオドール,フリオ,,,#AA0037
UCUzJ90o1EjqUbk2pBAy0_aw,Gilzaren III Season 2,Gilzaren III,Second Generation,本家,liver,FALSE,2026-09-25T02:35:40.013Z,Gilzaren_III,ギルザレンIII世,ぎるざれんさんせい,さんせい,,,#002FA7
UCpJtk0myFr5WnyfsmnInP-w,Hana Macchia Ch.【NIJISANJI・にじさんじ】,Hana Macchia,Ex-ID 3SetBBQ,旧ID,liver,FALSE,2026-09-25T04:34:58.013Z,Hana_Macchia,ハナ マキア,はなまきあ,はな Hana Macchia,,,#FFEFD5
UCVj0qG8hr8On0r5uYqpGE4w,Idios【にじさんじ】,Idios,Idios,本家,unit,FALSE,2026-09-24T21:29:52.010Z,,,,,,,
UC_D2DNy-KUNQJ_NGMppgmyg,JuvveL, JuvveL,JP Units,本家,unit,FALSE,2026-09-25T03:54:40.014Z,,,,,,,
UCEFOogmvTTcCaO8Qe0I8-tg,Kaelix Debonair【NIJISANJI EN】,Kaelix Debonair,EN BY THE BEAT,EN,liver,FALSE,2026-09-25T00:12:46.015Z,kaelixdebonair,Kaelix Debonair,ケイリクス・デボネア,ケイリクス カエリクス,,,#CDCD00
UCspv01oxUFf_MTSipURRhkA,Kanae Channel,Kanae,Ex-Gamers,本家,liver,FALSE,2026-09-25T01:58:46.030Z,Kanae_2434,叶,かなえ,,,,#ABD3D8
UCtpB6Bvhs1Um93ziEDACQ8g,Kazaki Ch. ‐ 森中花咲 ‐,Morinaka Kazaki,Second Generation,本家,liver,FALSE,2026-09-25T00:14:46.019Z,KazakiMorinaka,森中花咲,もりなかかざき,かざき,,,#C8F39A
UCQYwIUCLqFoin7lHKmePjJw,Klara Charmwood 【NIJISANJI EN】,Klara Charmwood,EN Denauth,EN,liver,FALSE,2026-09-25T04:22:58.012Z,KlaraCharmwood,Klara Charmwood,クララ・チャームウッド,クララ,,,#DFCDBF
UCSFCh5NL4qXrAy9u-u2lX3g,Kuzuha Channel,Kuzuha,Ex-Gamers,本家,liver,FALSE,2026-09-24T23:05:46.018Z,Vamp_Kuzu,葛葉,くずは,,,,#ACA7BB
UCyRkQSuhJILuGOuXk10voPg,Layla Alstroemeria【NIJISANJI / にじさんじ】,Layla Alstroemeria,Ex-ID LAN_NEE3S,旧ID,liver,FALSE,2026-09-24T23:12:40.011Z,LaylaAlstro2434,ライラ アルストロエメリア,らいらあるすとろえめりあ,らいら Layla Alstroemeria,,,#F78181
UC7Gb7Uawe20QyFibhLl1lzA,Luca Kaneshiro【NIJISANJI EN】,Luca Kaneshiro,EN Luxiem,EN,liver,FALSE,2026-09-24T19:58:58.021Z,luca_kaneshiro,Luca Kaneshiro,ルカ・カネシロ,ルカ,,,#D4AF37
UCtHFXfrn52juTqGBN4WbMVw,Luxiem Channel【NIJISANJI EN】,Luxiem Channel,EN Luxiem,EN,unit,FALSE,2026-09-24T20:20:52.017Z,NIJISANJI_World,Luxiem,,,,,
UCwaS8_S7kMiKA3izlTWHbQg,Maria Marionette 【NIJISANJI EN】,Maria Marionette,EN ILUNA,EN,liver,FALSE,2026-09-24T18:51:58.014Z,MariaMari0nette,Maria Marionette,マリア・マリオネット,マリア,,,#E55A9B
UChKXd7oqD18qiIYBoRIHTlw,Meloco Kyoran【NIJISANJI EN】,Meloco Kyoran,EN XSOLEIL,EN,liver,FALSE,2026-09-25T04:11:40.015Z,MelocoKyoran,Meloco Kyoran,メロコ・キョウラン,メロコ,,,#A09BD8
UC47rNmkDcNgbOcM-2BwzJTQ,Millie Parfait【NIJISANJI EN】,Millie Parfait,EN Ethyria,EN,liver,FALSE,2026-09-24T22:11:40.013Z,MillieParfait,Millie Parfait,ミリー・パフェ,ミリー,,,#FEBC87
UC-JSeFfovhNsEhftt1WHMvg,NIJISANJI EN Official,,Official,EN,official,FALSE,2026-09-24T22:26:40.012Z,nijisanji_world,NIJISANJI EN,,,,,
UCijNnZ-6m8g85UGaRAWuw7g,Nagisa Arcinia【NIJISANJI・にじさんじ】,Nagisa Arcinia,Ex-ID 53Renade,旧ID,liver,FALSE,2026-09-24T22:42:46.018Z,NagisaArcinia,ナギサ アルシニア,なぎさあるしにあ,なぎさ Nagisa Arcinia,,,#CC338B
UCwNNw9kUM-Bo0n2ktXOPB7Q,Oriensオリエンス【にじさんじ】,Oriens,Oriens,本家,unit,FALSE,2026-09-25T00:53:52.010Z,Oriens_honmono,,,,,,
UCgA2jKRkqpY_8eysPUs8sjw,Petra Gurin【NIJISANJI EN】,Petra Gurin,EN OBSYDIA,EN,liver,FALSE,2026-09-24T18:40:52.016Z,Petra_Gurin,Petra Gurin,ペトラ・グリン,ペトラ,,,#FFAE42
UCwi4P78SVunSYAGrvC9aKcw,ROF-MAO / ろふまおチャンネル【にじさんじ】,ROF-MAO,JP Units,本家,unit,FALSE,2026-09-25T01:50:52.013Z,ROF_MAO,,,,,,
UC8Snw5i4eOJXEQqURAK17hQ,Rai Galilei【NIJISANJI / にじさんじ】,Rai Galilei,Ex-ID CloverMcOver,旧ID,liver,FALSE,2026-09-24T22:58:52.013Z,Rai_Galilei,ライ ガリレイ,らいがりれい,らい Rai Galilei,,,#7DF9FF
UChqQiUSyI-Q1j3k57_mAJHA,Rain Drops,Rain Drops,JP Units,本家,unit,FALSE,2026-09-25T03:49:52.013Z,raindrops200123,,,,,,
